date,year,month,chirps_count,ndvi_count,lst_count,era5_count,era5_has_skinT
2013-11,2013,11,30,2,4,1,true
2013-12,2013,12,31,2,4,1,true
2014-01,2014,1,31,2,4,1,true
2014-02,2014,2,28,2,4,1,true
2014-03,2014,3,31,2,4,1,true
2014-04,2014,4,30,2,3,1,true
2014-05,2014,5,31,2,4,1,true
2014-06,2014,6,30,2,4,1,true
2014-07,2014,7,31,2,4,1,true
2014-08,2014,8,31,2,4,1,true
2014-09,2014,9,30,2,4,1,true
2014-10,2014,10,31,1,3,1,true
2014-11,2014,11,30,2,4,1,true
2014-12,2014,12,31,2,4,1,true
2015-01,2015,1,31,2,4,1,true
2015-02,2015,2,28,2,4,1,true
2015-03,2015,3,31,2,4,1,true
2015-04,2015,4,30,2,3,1,true
2015-05,2015,5,31,2,4,1,true
2015-06,2015,6,30,2,4,1,true
2015-07,2015,7,31,2,4,1,true
2015-08,2015,8,31,2,4,1,true
2015-09,2015,9,30,2,4,1,true
2015-10,2015,10,31,1,3,1,true
2015-11,2015,11,30,2,4,1,true
2015-12,2015,12,31,2,4,1,true
2016-01,2016,1,31,2,4,1,true
2016-02,2016,2,29,2,4,1,true
2016-03,2016,3,31,2,4,1,true
2016-04,2016,4,30,2,4,1,true
2016-05,2016,5,31,2,3,1,true
2016-06,2016,6,30,2,4,1,true
2016-07,2016,7,31,2,4,1,true
2016-08,2016,8,31,2,4,1,true
2016-09,2016,9,30,2,4,1,true
2016-10,2016,10,31,2,4,1,true
2016-11,2016,11,30,1,3,1,true
2016-12,2016,12,31,2,4,1,true
2017-01,2017,1,31,2,4,1,true
2017-02,2017,2,28,2,4,1,true
2017-03,2017,3,31,2,4,1,true
2017-04,2017,4,30,2,3,1,true
2017-05,2017,5,31,2,4,1,true
2017-06,2017,6,30,2,4,1,true
2017-07,2017,7,31,2,4,1,true
2017-08,2017,8,31,2,4,1,true
2017-09,2017,9,30,2,4,1,true
2017-10,2017,10,31,1,3,1,true
2017-11,2017,11,30,2,4,1,true
2017-12,2017,12,31,2,4,1,true
2018-01,2018,1,31,2,4,1,true
2018-02,2018,2,28,2,4,1,true
2018-03,2018,3,31,2,4,1,true
2018-04,2018,4,30,2,3,1,true
2018-05,2018,5,31,2,4,1,true
2018-06,2018,6,30,2,4,1,true
2018-07,2018,7,31,2,4,1,true
2018-08,2018,8,31,2,4,1,true
2018-09,2018,9,30,2,4,1,true
2018-10,2018,10,31,1,3,1,true
2018-11,2018,11,30,2,4,1,true
2018-12,2018,12,31,2,4,1,true
2019-01,2019,1,31,2,4,1,true
2019-02,2019,2,28,2,4,1,true
2019-03,2019,3,31,2,4,1,true
2019-04,2019,4,30,2,3,1,true
2019-05,2019,5,31,2,4,1,true
2019-06,2019,6,30,2,4,1,true
2019-07,2019,7,31,2,4,1,true
2019-08,2019,8,31,2,4,1,true
2019-09,2019,9,30,2,4,1,true
2019-10,2019,10,31,1,3,1,true
2019-11,2019,11,30,2,4,1,true
2019-12,2019,12,31,2,4,1,true
2020-01,2020,1,31,2,4,1,true
2020-02,2020,2,29,2,4,1,true
2020-03,2020,3,31,2,4,1,true
2020-04,2020,4,30,2,4,1,true
2020-05,2020,5,31,2,3,1,true
2020-06,2020,6,30,2,4,1,true
2020-07,2020,7,31,2,4,1,true
2020-08,2020,8,31,2,4,1,true
2020-09,2020,9,30,2,4,1,true
2020-10,2020,10,31,2,4,1,true
2020-11,2020,11,30,1,3,1,true
2020-12,2020,12,31,2,4,1,true
2021-01,2021,1,31,2,4,1,true
2021-02,2021,2,28,2,4,1,true
2021-03,2021,3,31,2,4,1,true
2021-04,2021,4,30,2,3,1,true
2021-05,2021,5,31,2,4,1,true
2021-06,2021,6,30,2,4,1,true
2021-07,2021,7,31,2,4,1,true
2021-08,2021,8,31,2,4,1,true
2021-09,2021,9,30,2,4,1,true
2021-10,2021,10,31,1,3,1,true
2021-11,2021,11,30,2,4,1,true
2021-12,2021,12,31,2,4,1,true
2022-01,2022,1,31,2,4,1,true
2022-02,2022,2,28,2,4,1,true
2022-03,2022,3,31,2,4,1,true
2022-04,2022,4,30,2,3,1,true
2022-05,2022,5,31,2,4,1,true
2022-06,2022,6,30,2,4,1,true
2022-07,2022,7,31,2,4,1,true
2022-08,2022,8,31,2,4,1,true
2022-09,2022,9,30,2,4,1,true
2022-10,2022,10,31,1,3,1,true
2022-11,2022,11,30,2,4,1,true
2022-12,2022,12,31,2,4,1,true
2023-01,2023,1,31,2,4,1,true
2023-02,2023,2,28,2,4,1,true
2023-03,2023,3,31,2,4,1,true
2023-04,2023,4,30,2,3,1,true
2023-05,2023,5,31,2,4,1,true
2023-06,2023,6,30,2,4,1,true
2023-07,2023,7,31,2,4,1,true
2023-08,2023,8,31,2,4,1,true
2023-09,2023,9,30,2,4,1,true
2023-10,2023,10,31,1,3,1,true
2023-11,2023,11,30,2,4,1,true
2023-12,2023,12,31,2,4,1,true
2024-01,2024,1,31,2,4,1,true
2024-02,2024,2,29,2,4,1,true
2024-03,2024,3,31,2,4,1,true
